Entry	Gene names  (primary )	Gene names  (synonym )
P55212	CASP6	MCH2
Q13042	CDC16	ANAPC6
Q14790	CASP8	MCH5
P41180	CASR	GPRC2A PCAR1
Q8NEA5	C19orf18	
Q86Y34	ADGRG3	GPR97 PGR26
P41182	BCL6	BCL5 LAZ3 ZBTB27 ZNF51
Q9UN42	ATP1B4	
A0A1B0GTH6	CSNKA2IP	
P30988	CALCR	
Q6XLA1	CASC2	C10orf5
Q01814	ATP2B2	PMCA2
O75534	CSDE1	D1S155E KIAA0885 NRU UNR
Q9UKF2	ADAM30	
Q13939	CCIN	
P24539	ATP5PB	ATP5F1
Q9Y2W7	KCNIP3	CSEN DREAM KCHIP3
P27482	CALML3	
Q06055	ATP5MC2	ATP5G2
Q8N6F1	CLDN19	
Q7Z4Y8	ATP5MGL	ATP5K2 ATP5L2
Q96Q40	CDK15	ALS2CR7 PFTK2
O95832	CLDN1	CLD1 SEMP1
Q9ULK2	ATXN7L1	ATXN7L4 KIAA1218
P09919	CSF3	C17orf33 GCSF
Q8N888	BCORP1	BCORL2
Q00536	CDK16	PCTAIRE1 PCTK1
P0DP25	CALM3	CALML2 CAM3 CAMC CAMIII
Q9Y2Q0	ATP8A1	ATPIA
P56747	CLDN6	
Q9H2U9	ADAM7	GP83
O60423	ATP8B3	ATP1K FOS37502_2
P06493	CDK1	CDC2 CDC28A CDKN1 P34CDC2
P0DML2	CSH1	
Q8NHS1	CLDND2	
Q13443	ADAM9	KIAA0021 MCMP MDC9 MLTNG
Q6Q4G3	LVRN	AQPEP
Q8IZL9	CDK20	CCRK CDCH
Q6PL18	ATAD2	
Q96EY9	ADAT3	TAD3
P24941	CDK2	CDKN2
Q16602	CALCRL	CGRPR
Q00526	CDK3	CDKN3
Q00535	CDK5	CDKN5
P00813	ADA	ADA1
Q13536	C1orf61	CROC4
P19784	CSNK2A2	CK2A2
P45954	ACADSB	
P41240	CSK	
P16442	ABO	
Q6ZT62	BARGIN	
P15336	ATF2	CREB2 CREBP1
Q9Y2D1	ATF5	ATFX
Q9NZA1	CLIC5	
P18848	ATF4	CREB2 TXREB
O43306	ADCY6	KIAA0422
P49760	CLK2	
Q9HD42	CHMP1A	CHMP1 KIAA0047 PCOLN3 PRSM1
Q06278	AOX1	AO
Q9HAZ1	CLK4	
Q63HQ0	AP1AR	C4orf16
P15882	CHN1	ARHGAP2 CHN
Q8TDQ1	CD300LF	CD300F CLM1 IGSF13 IREM1 NKIR
Q9NUN7	ACER3	APHC PHCA
Q9Y3E7	CHMP3	CGI149 NEDF VPS24
Q6UXZ3	CD300LD	CD300D CMRF35A4
Q8WUX9	CHMP7	
Q9UGN4	CD300A	CMRF35H IGSF12
Q6UX39	AMTN	
Q6UXG3	CD300LG	CLM9 TREM4
Q4G0I0	CCSMST1	C16orf91
O43747	AP1G1	ADTG CLAPG1
Q9BXS5	AP1M1	CLTNM
P12821	ACE	DCP DCP1
Q9Y6Q5	AP1M2	
P61966	AP1S1	AP19 CLAPS1
O15516	CLOCK	BHLHE8 KIAA0334
O14757	CHEK1	CHK1
O43745	CHP2	HCA520
P35611	ADD1	ADDA
Q9UBW8	COPS7A	CSN7A DERP10
Q9H9Q2	COPS7B	CSN7B
Q15822	CHRNA2	
Q99627	COPS8	CSN8
Q92754	TFAP2C	
Q9Y259	CHKB	CHETK CHKL
P36544	CHRNA7	NACHRA7
P53680	AP2S1	AP17 CLAPS2
Q9UDR5	AASS	
Q9H078	CLPB	HSP78 SKD3
Q7RTS1	BHLHA15	BHLHB8 MIST1
Q04844	CHRNE	ACHRE
Q7RTU4	BHLHA9	BHLHF42
Q92572	AP3S1	CLAPS3
Q9UKV3	ACIN1	ACINUS KIAA0670
P13611	VCAN	CSPG2
Q8NDZ0	BEND2	CXorf20
Q8IVF6	ANKRD18A	KIAA2015
Q5SZJ8	BEND6	C6orf65
Q9BXX3	ANKRD30A	
O95196	CSPG5	CALEB NGC
Q96DT6	ATG4C	APG4C AUTL1 AUTL3
Q9BTT0	ANP32E	
Q13541	EIF4EBP1	
Q86X52	CHSY1	CHSY CSS1 KIAA0990
Q93088	BHMT	
O43299	AP5Z1	KIAA0415 SPG48
Q9Y4C5	CHST2	GN6ST
Q8NCG5	CHST4	
Q9NUS5	AP5S1	C20orf29
Q8TD16	BICD2	KIAA0699
Q8NET6	CHST13	
O95352	ATG7	APG7L
Q9Y6D5	ARFGEF2	ARFGEP2 BIG2
Q9NWD9	BEX4	BEXL1 NADE3
Q6ZRZ4	C9orf47	C9orf108
A6NGG3	C9orf92	
P53396	ACLY	
P11511	CYP19A1	ARO1 CYAR CYP19
Q9H175	CSRNP2	C12orf22 FAM130A1 TAIP12
O60676	CST8	CRES
Q8NCL9	APCDD1L	
P25054	APC	DP2.5
Q9BU20	CPLANE2	C1orf89 RSG1
O14810	CPLX1	
Q8WVH0	CPLX3	
F7VJQ1	PRNP	ALTPRP PRIP PRP
Q8N1V8	LINC01561	C10orf85
Q96M02	C10orf90	FATS
Q96FG2	ELMOD3	RBED1 RBM29
Q9H7T3	C10orf95	
Q99829	CPNE1	CPN1
P0C842	LINC00614	C10orf52
O94983	CAMTA2	KIAA0909
P58418	CLRN1	USH3A
Q9P2I0	CPSF2	CPSF100 KIAA1367
Q96DZ9	CMTM5	CKLFSF5
Q9BPX3	NCAPG	CAPG NYMEL3
P62633	CNBP	RNF163 ZNF9
